name,location,edition,restaurant_url,address,lat,lon
Tao Tao Ju,London,canning-town-editions,https://deliveroo.co.uk/menu/London/canning-town-editions/tao-tao-ju-editions-can?day=today&geohash=gcpvpqp8znt2&time=ASAP,"Unit 3&4, Galaxy, Crescent Court Business Centre, London, E164TG",51.52342482,1.34E-05
Bronson’s Burgers,London,canary-wharf,https://deliveroo.co.uk/menu/London/canary-wharf/bronsons-burgers-canary-wharf?day=today&geohash=gcpvpqp8znt2&time=ASAP,"Kitchen 1, Jacuna Kitchens, 105 Cannon Drive, London, E144AS",51.50702767,-0.026336476
Motu Indian Kitchen,London,canning-town-editions,https://deliveroo.co.uk/menu/London/canning-town-editions/motu-indian-kitchen-blw?day=today&geohash=gcpvpqp8znt2&time=ASAP,"Prestage Way Car Park, Editions, Blackwall, London, E149QE",51.5086128,-0.006668344
WING·STOP,London,canning-town-editions,https://deliveroo.co.uk/menu/London/canning-town-editions/wingstop-editions-blw?day=today&geohash=gcpvpqp8znt2&time=ASAP,"Unit 3&4, Galaxy, Crescent Court Business Centre, Canning Town, London, E164TG",51.52342482,1.34E-05
Zzetta,London,whitechapel-editions,https://deliveroo.co.uk/menu/London/whitechapel-editions/zzettta-editions-whi?day=today&geohash=gcpvpqp8znt2&time=ASAP,"10 Assembly Passage, London, E14UT",51.5205841,-0.0516174
TRIP CBD Store,London,whitechapel-editions,https://deliveroo.co.uk/menu/London/whitechapel-editions/trip-cbd-store-editions-wme?day=today&geohash=gcpvpqp8znt2&time=ASAP,"61 Assembly Passage, Whitechapel, London, E14UT",51.5205841,-0.0516174
Remeo Gelato,London,whitechapel-editions,https://deliveroo.co.uk/menu/London/whitechapel-editions/remeo-gelato-editions-wme?day=today&geohash=gcpvpqp8znt2&time=ASAP,"10 Assembly Passage, Whitechapel, London, E14UT",51.5205841,-0.0516174
Patri Artisan Street Food and Drinks,London,caledonian-road-and-barnsbury,https://deliveroo.co.uk/menu/London/caledonian-road-and-barnsbury/chai-naasto-hammersmith?day=today&geohash=gcpvpqp8znt2&time=ASAP,"Unit 4, 149 Roman Way, London, London, N78XH",51.54339937,-0.114732291
Biryaniwalla,London,caledonian-road-and-barnsbury,https://deliveroo.co.uk/menu/London/caledonian-road-and-barnsbury/biryaniwalla?day=today&geohash=gcpvpqp8znt2&time=ASAP,"149 Roman Way, Unit 4,, London, N78XH",51.54339937,-0.114732291
Ice Cream Store,London,whitechapel-editions,https://deliveroo.co.uk/menu/London/whitechapel-editions/ics-editions-wme-new?day=today&geohash=gcpvpqp8znt2&time=ASAP,"Deliveroo Editions, 10 Assembly Passage, London, E14UT",51.5205841,-0.0516174
Jude's Ice Cream,London,canning-town-editions,https://deliveroo.co.uk/menu/London/canning-town-editions/judes-ice-cream-editions-blw?day=today&geohash=gcpvpqp8znt2&time=ASAP,"Prestage Way Car Park, Editions, Blackwall, London, E149QE",51.5086128,-0.006668344
Rice Bowl Company,London,caledonian-road-and-barnsbury,https://deliveroo.co.uk/menu/London/caledonian-road-and-barnsbury/rum-and-rice-hammersmith-grove?day=today&geohash=gcpvpqp8znt2&time=ASAP,"149 Roman Way, Unit 4, London, N78XH",51.54339937,-0.114732291
Ben & Jerry's Store,London,whitechapel-editions,https://deliveroo.co.uk/menu/London/whitechapel-editions/ben-and-jerrys-store-editions-wme?day=today&geohash=gcpvpqp8znt2&time=ASAP,"Deliveroo Editions, 10 Assembly Passage, London, E14UT",51.5205841,-0.0516174
Ice Cream Store,London,canning-town-editions,https://deliveroo.co.uk/menu/London/canning-town-editions/ics-editions-blw?day=today&geohash=gcpvpqp8znt2&time=ASAP,"Unit 3&4, Galaxy, Crescent Court Business Centre, Canning Town, London, E164TG",51.52342482,1.34E-05
Mama Li ,London,canning-town-editions,https://deliveroo.co.uk/menu/London/canning-town-editions/mama-li-express?day=tomorrow&geohash=gcpvpqp8znt2&time=1230,"Unit 3&4, Galaxy, Crescent Court Business Centre, London, E164TG",51.52342482,1.34E-05
YUN Restaurant,London,canning-town-editions,https://deliveroo.co.uk/menu/London/canning-town-editions/yun-editions-blw?geohash=gcpvpqp8znt2,"Unit 3&4, Galaxy, Crescent Court Business Centre, Canning Town, London, E164TG",51.52342482,1.34E-05
YUN Bento,London,canning-town-editions,https://deliveroo.co.uk/menu/London/canning-town-editions/yun-chinese-editions-blw-canary-wharf?geohash=gcpvpqp8znt2,"Unit 3&4, Galaxy, Crescent Court Business Centre, Canning Town, London, E164TG",51.52342482,1.34E-05
Beer and Fried Chicken Co.,London,canning-town-editions,https://deliveroo.co.uk/menu/London/canning-town-editions/b-and-fried-chicken-co-editions-blw?geohash=gcpvpqp8znt2,"Unit 3&4, Galaxy, Crescent Court Business Centre, Canning Town, London, E164TG",51.52342482,1.34E-05
Remedy Kitchen,London,battersea-york-road,https://deliveroo.co.uk/menu/London/battersea-york-road/remedy-kitchen-editions-byr?day=today&geohash=gcpugcwkyb25&time=ASAP,"Unit 13-15, Heliport Industrial Estate, Battersea, London, SW113SS",51.46972537,-0.178480919
Zing Zing,London,wandsworth-editions,https://deliveroo.co.uk/menu/London/wandsworth-editions/zing-zing-editions-wnw?day=today&geohash=gcpugcwkyb25&time=1745,"Unit 4, 271 Merton Road, London, SW185JS",51.44716666,-0.198205539
Rajah Rowing Indian Kitchen,London,wandsworth-editions,https://deliveroo.co.uk/menu/London/wandsworth-editions/rajah-rowing-editions-wnw?day=today&geohash=gcpugcwkyb25&time=1645,"Unit 4, 271, Merton Road, London, SW185JS",51.44716666,-0.198205539
Bronson's Burgers,London,south-norbury,https://deliveroo.co.uk/menu/London/south-norbury/bronsons-burgers-norbury?day=today&geohash=gcpumm6sc317&time=ASAP,"Pod 19 Unit 5-7 Norbury trading, London, SW164RW",51.4085578,-0.1211643
TRIP CBD Store,London,beddington-east,https://deliveroo.co.uk/menu/London/beddington-east/trip-cbd-store-croydon?day=today&geohash=gcpumm6sc317&time=ASAP,"106 Beddington Lane, London, CR04TB",51.37320421,-0.131343583
Pho,London,honor-oak-park,https://deliveroo.co.uk/menu/London/honor-oak-park/pho-editions-dul?day=today&geohash=gcpumm6sc317&time=1645,"Units 3 & 4 Dulwich Business Centre, Dulwich, London, SE231AG",51.44282736,-0.048059682
WING·STOP,London,wandsworth-editions,https://deliveroo.co.uk/menu/London/wandsworth-editions/wingstop-wandsworth?day=today&geohash=gcpusu6unsdd&time=ASAP,"Unit 4, 271 Merton Road, London, SW185JS",51.44716666,-0.198205539
Dishoom,London,wandsworth-editions,https://deliveroo.co.uk/menu/London/wandsworth-editions/dishoom-editions-wnw?day=today&geohash=gcpuemxvwjnx&time=ASAP,"Unit 4, 271 Merton Road Industrial Estate, Wandsworth, London, SW185JS",51.44716666,-0.198205539
Tao Tao Ju ,London,wandsworth-editions,https://deliveroo.co.uk/menu/London/wandsworth-editions/tao-tao-ju-editions-wnw?day=today&geohash=gcpuemxvwjnx&time=ASAP,"Unit 4, 271 Merton Road, Southfields, London, SW185JS",51.44716666,-0.198205539
Popeyes Louisiana Kitchen,London,maida-vale-editions,https://deliveroo.co.uk/menu/London/maida-vale-editions/popeyes-editions-mdv?day=today&geohash=gcpv4ezcruym&time=ASAP,"8, Mitre Way, Mitre Bridge Industrial Estate, W10 6AU, London, W106AU",51.5245604,-0.2304484
Dishoom,London,maida-vale-editions,https://deliveroo.co.uk/menu/London/maida-vale-editions/dishoom-kings-cross?day=today&geohash=gcpv4ezcruym&time=ASAP,"Deliveroo Editions, Unit 8 Mitre Way, Mitre Bridge Industrial Estate, London Borough of Hammersmith and Fulham, London, London, W106AU",51.5245604,-0.2304484
