,name,location,timestamps,timestamp_urls,restaurant_url
122,The Chickpea,battersea-york-road,"['20200922', '20210117', '20201023', '20200920']","['https://web.archive.org/web/20200922/https://deliveroo.co.uk/restaurants/london/battersea-york-road?tags=deliveroo+editions', 'https://web.archive.org/web/20210117/https://deliveroo.co.uk/restaurants/london/battersea-york-road?tags=deliveroo+editions', 'https://web.archive.org/web/20201023/https://deliveroo.co.uk/restaurants/london/culvert-place-editions?tags=deliveroo+editions', 'https://web.archive.org/web/20200920/https://deliveroo.co.uk/restaurants/london/queenstown-road?tags=deliveroo+editions']",https://deliveroo.co.uk/menu/london/battersea-york-road/the-chickpea-editions-byr-new?day=today&geohash=gcpugcwkyb25&time=1000
123,Shake Shack,culvert-place-editions,"['20200922', '20201023', '20200920']","['https://web.archive.org/web/20200922/https://deliveroo.co.uk/restaurants/london/battersea-york-road?tags=deliveroo+editions', 'https://web.archive.org/web/20201023/https://deliveroo.co.uk/restaurants/london/culvert-place-editions?tags=deliveroo+editions', 'https://web.archive.org/web/20200920/https://deliveroo.co.uk/restaurants/london/queenstown-road?tags=deliveroo+editions']",https://deliveroo.co.uk/menu/london/culvert-place-editions/shake-shack-editions-bcp?day=today&geohash=gcpugcwkyb25&time=1200
124,The Athenian,culvert-place-editions,"['20200922', '20210117', '20201023', '20200920']","['https://web.archive.org/web/20200922/https://deliveroo.co.uk/restaurants/london/battersea-york-road?tags=deliveroo+editions', 'https://web.archive.org/web/20210117/https://deliveroo.co.uk/restaurants/london/battersea-york-road?tags=deliveroo+editions', 'https://web.archive.org/web/20201023/https://deliveroo.co.uk/restaurants/london/culvert-place-editions?tags=deliveroo+editions', 'https://web.archive.org/web/20200920/https://deliveroo.co.uk/restaurants/london/queenstown-road?tags=deliveroo+editions']",https://deliveroo.co.uk/menu/london/culvert-place-editions/the-athenian-editions-bcp?day=today&geohash=gcpugcwkyb25&time=1200
125,Waleema,battersea-york-road,"['20200922', '20201023', '20210624', '20200920', '20210117', '20220524', '20210623']","['https://web.archive.org/web/20200922/https://deliveroo.co.uk/restaurants/london/battersea-york-road?tags=deliveroo+editions', 'https://web.archive.org/web/20201023/https://deliveroo.co.uk/restaurants/london/culvert-place-editions?tags=deliveroo+editions', 'https://web.archive.org/web/20210624/https://deliveroo.co.uk/restaurants/london/culvert-place-editions?tags=deliveroo+editions', 'https://web.archive.org/web/20200920/https://deliveroo.co.uk/restaurants/london/queenstown-road?tags=deliveroo+editions', 'https://web.archive.org/web/20210117/https://deliveroo.co.uk/restaurants/london/queenstown-road?tags=deliveroo+editions', 'https://web.archive.org/web/20220524/https://deliveroo.co.uk/restaurants/london/queenstown-road?tags=deliveroo+editions', 'https://web.archive.org/web/20210623145633/https://deliveroo.co.uk/restaurants/london/wandsworth-editions?tags=deliveroo+editions']",https://deliveroo.co.uk/menu/london/battersea-york-road/waleema-editions-byr-new?day=today&geohash=gcpugcwkyb25&time=1200
126,Jakob's Kitchen,battersea-york-road,"['20200922', '20210117', '20201023', '20210624', '20210731', '20200920', '20220524', '20210623']","['https://web.archive.org/web/20200922/https://deliveroo.co.uk/restaurants/london/battersea-york-road?tags=deliveroo+editions', 'https://web.archive.org/web/20210117/https://deliveroo.co.uk/restaurants/london/battersea-york-road?tags=deliveroo+editions', 'https://web.archive.org/web/20201023/https://deliveroo.co.uk/restaurants/london/culvert-place-editions?tags=deliveroo+editions', 'https://web.archive.org/web/20210624/https://deliveroo.co.uk/restaurants/london/culvert-place-editions?tags=deliveroo+editions', 'https://web.archive.org/web/20210731041337/https://deliveroo.co.uk/restaurants/london/putney?tags=deliveroo+editions', 'https://web.archive.org/web/20200920/https://deliveroo.co.uk/restaurants/london/queenstown-road?tags=deliveroo+editions', 'https://web.archive.org/web/20220524/https://deliveroo.co.uk/restaurants/london/queenstown-road?tags=deliveroo+editions', 'https://web.archive.org/web/20210623145633/https://deliveroo.co.uk/restaurants/london/wandsworth-editions?tags=deliveroo+editions']",https://deliveroo.co.uk/menu/london/battersea-york-road/jakobs-kitchen-editions-byr-new?day=today&geohash=gcpugcwkyb25&time=1200
127,The Athenian Plant Based,culvert-place-editions,"['20200922', '20210117', '20201023', '20200920']","['https://web.archive.org/web/20200922/https://deliveroo.co.uk/restaurants/london/battersea-york-road?tags=deliveroo+editions', 'https://web.archive.org/web/20210117/https://deliveroo.co.uk/restaurants/london/battersea-york-road?tags=deliveroo+editions', 'https://web.archive.org/web/20201023/https://deliveroo.co.uk/restaurants/london/culvert-place-editions?tags=deliveroo+editions', 'https://web.archive.org/web/20200920/https://deliveroo.co.uk/restaurants/london/queenstown-road?tags=deliveroo+editions']",https://deliveroo.co.uk/menu/london/culvert-place-editions/the-athenian-plant-based-editions-bcp?day=today&geohash=gcpugcwkyb25&time=1200
128,Gourmet Sushi,battersea-york-road,"['20200922', '20210117', '20201023', '20210624', '20200920', '20220524', '20210623']","['https://web.archive.org/web/20200922/https://deliveroo.co.uk/restaurants/london/battersea-york-road?tags=deliveroo+editions', 'https://web.archive.org/web/20210117/https://deliveroo.co.uk/restaurants/london/battersea-york-road?tags=deliveroo+editions', 'https://web.archive.org/web/20201023/https://deliveroo.co.uk/restaurants/london/culvert-place-editions?tags=deliveroo+editions', 'https://web.archive.org/web/20210624/https://deliveroo.co.uk/restaurants/london/culvert-place-editions?tags=deliveroo+editions', 'https://web.archive.org/web/20200920/https://deliveroo.co.uk/restaurants/london/queenstown-road?tags=deliveroo+editions', 'https://web.archive.org/web/20220524/https://deliveroo.co.uk/restaurants/london/queenstown-road?tags=deliveroo+editions', 'https://web.archive.org/web/20210623145633/https://deliveroo.co.uk/restaurants/london/wandsworth-editions?tags=deliveroo+editions']",https://deliveroo.co.uk/menu/london/battersea-york-road/gourmet-sushi-editions-byr?day=today&geohash=gcpugcwkyb25&time=1215
129,Chilango,battersea-york-road,"['20200922', '20210117', '20201023', '20210624', '20200920', '20220524']","['https://web.archive.org/web/20200922/https://deliveroo.co.uk/restaurants/london/battersea-york-road?tags=deliveroo+editions', 'https://web.archive.org/web/20210117/https://deliveroo.co.uk/restaurants/london/battersea-york-road?tags=deliveroo+editions', 'https://web.archive.org/web/20201023/https://deliveroo.co.uk/restaurants/london/culvert-place-editions?tags=deliveroo+editions', 'https://web.archive.org/web/20210624/https://deliveroo.co.uk/restaurants/london/culvert-place-editions?tags=deliveroo+editions', 'https://web.archive.org/web/20200920/https://deliveroo.co.uk/restaurants/london/queenstown-road?tags=deliveroo+editions', 'https://web.archive.org/web/20220524/https://deliveroo.co.uk/restaurants/london/queenstown-road?tags=deliveroo+editions']",https://deliveroo.co.uk/menu/london/battersea-york-road/chilango-editions-byr?day=today&geohash=gcpugcwkyb25&time=1215
130,Yoobi Sushi,queenstown-road,"['20200922', '20210117', '20201023', '20210624', '20200918', '20200920', '20220524']","['https://web.archive.org/web/20200922/https://deliveroo.co.uk/restaurants/london/battersea-york-road?tags=deliveroo+editions', 'https://web.archive.org/web/20210117/https://deliveroo.co.uk/restaurants/london/battersea-york-road?tags=deliveroo+editions', 'https://web.archive.org/web/20201023/https://deliveroo.co.uk/restaurants/london/culvert-place-editions?tags=deliveroo+editions', 'https://web.archive.org/web/20210624/https://deliveroo.co.uk/restaurants/london/culvert-place-editions?tags=deliveroo+editions', 'https://web.archive.org/web/20200918142339/https://deliveroo.co.uk/restaurants/london/lambeth?tags=deliveroo+editions', 'https://web.archive.org/web/20200920/https://deliveroo.co.uk/restaurants/london/queenstown-road?tags=deliveroo+editions', 'https://web.archive.org/web/20220524/https://deliveroo.co.uk/restaurants/london/queenstown-road?tags=deliveroo+editions']",https://deliveroo.co.uk/menu/london/queenstown-road/yoobi-battersea?day=today&geohash=gcpugcwkyb25&time=1215
131,Simple Health Kitchen,culvert-place-editions,"['20200922', '20201023', '20200920']","['https://web.archive.org/web/20200922/https://deliveroo.co.uk/restaurants/london/battersea-york-road?tags=deliveroo+editions', 'https://web.archive.org/web/20201023/https://deliveroo.co.uk/restaurants/london/culvert-place-editions?tags=deliveroo+editions', 'https://web.archive.org/web/20200920/https://deliveroo.co.uk/restaurants/london/queenstown-road?tags=deliveroo+editions']",https://deliveroo.co.uk/menu/london/culvert-place-editions/simple-health-kitchen-editions-bcp?day=today&geohash=gcpugcwkyb25&time=1230
